query,url,title,snippet,domain,crawl_date
"""SES営業"" ""粗利"" ""還元""",https://note.com/kdoae/n/nb5610fd57ec0,SES甘くないぞっていう話｜【公式】株式会社LEGAREA ...,こんにちは、代表の三坂です。 最近、高還元SESについて相談をいただく機会が増えてきました。 表面的にはシンプルに見える事業なのに、実際に運営してみると想像以上に負荷がかかる。,note.com,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://www.wantedly.com/companies/trash-briefing/post_articles/346598,新型（高還元）SES企業の仕組みと、今時のダークSESの ...,こんなわけで、基本構造はある程度決まってくるのだが、自由度の高い高還元SESは、営業への負担が半端ないことになるので、営業機能を自社で持つかどうかと言う点も大きな意味を持ち、いろいろと戦術レベルで差が出てきて、それが戦略レベルにも影響してくる。 フリーランスのエージェントに近い業態と言える。,wantedly.com,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://next.rikunabi.com/viewjob/jka5fcd5d5fb5ca70f,【SES営業】インセンティブに上限なし!『粗利の25%』を稼働中 ...,-なぜ「25％継続」なのか 多くのSES企業では、インセンティブは「成約時の一時金」のみ、あるいは数パーセントの還元に留まります。 しかし、私たちは「エンジニアが安心して働き続けられる環境を守ること」こそが営業の真の価値だと考えています。,next.rikunabi.com,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://comemo.nikkei.com/n/nbbbf99bac422,2026年に分かれるSESの明暗—業界再編のカウントダウン,エンジニアの多くが未経験・微経験で、待機人員を多く抱えているケースも目立ちます。 Webサイトを見ると「高還元」「フルリモート」などの文言が並びますが、案件自体が少ない、もしくは単価の低い案件しか取れないという実態があります。,comemo.nikkei.com,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://hoshihuru-sys.com,星降る夜のシステムズ株式会社,高還元/高給与にできる理由はシンプルで本社人件費や地代をクラウドやAIのフル活用によってを大幅にコストカットできており、当社給与体系を敷くことにより最大限までお客様単価を本人給与に回せるためです。,hoshihuru-sys.com,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://jp.indeed.com/q-ses-e-%e6%b1%82%e4%ba%ba.html,ses e の求人 - Indeed (インディード),"【SES営業】インセンティブに上限なし!『粗利の25%』を稼働中ずっと還元。 月収100万円以上を目指すシニア営業。 株式会社エムアイメイズ 東京都 新宿区 西新宿 年俸 240万円 ~ 1,800万円 正社員 Indeed で応募 30+日前",jp.indeed.com,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://en-gage.net/cmc-a_saiyo,株式会社シ・エム・シの採用・求人情報-engage - エンゲージ,当社は、設立から30年にわたり、IT人材サービス事業を展開してきたシステムエンジニアリングサービス（SES）企業です。 IT領域に特化したSESを主力事業とし、エンジニア人材と企業の開発案件との最適なマッチングに強みを持っています。 業務システムやWebサービスのバックエンド領域から、ユーザーインターフェースを担うフロントエンド領域まで、多種多様なニーズに柔軟かつ的確に対応し、企業と技術者の双方に価値あるサービスを提供しています。 現在、下記の職種で募集を行なっています。 応募を検討される方は、以下のページをご覧ください。 株式会社シ・エム・シの採用・求人情報ページです。 株式会社シ・エム・シ 私たちと一緒に働きませんか？,en-gage.net,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://axxis.co.jp/magazine/59692,SES営業はやめとけ？きつい理由と辞めた後の転職先を解説,SES営業として働いていて「もう限界かもしれない」と感じていませんか。 SES営業がきついと感じるのは決して甘えではありません。 ただ、勢いだけで辞めてしまうと後悔する可能性もあります。,axxis.co.jp,2026-07-02
"""SES営業"" ""粗利"" ""還元""",https://ngen.co.jp/recruit/salesm,株式会社N.ジェン｜営業職 キャリア採用,会社が成長するための利益は、それを生み出した現場に還元されるべきです。 合理的な環境で、無駄なく働き、会社と共に成長し、しっかりと稼ぐ。 そんなプロフェッショナルな方と出会えることを楽しみにしています。 代表取締役 FAQ よくあるご質問,ngen.co.jp,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://jp.indeed.com/q-ses-%e5%96%b6%e6%a5%ad%e5%89%af%e6%a5%ad-%e6%b1%82%e4%ba%ba.html,Ses 営業副業の求人 | Indeed (インディード),"Ses 営業副業の求人は5,786件あります。営業, It営業, 技術者などの仕事・転職・アルバイト情報もまとめて検索。 ・SES営業経験者（未経験の場合は、立ち上がりに時間を使える方） ・顧客や人材と円滑なコミュニケーションがとれる方 ・オンラインMTG環境が整っている方（PCや通信環境や静かな ...",jp.indeed.com,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://www.hellowork.careers/%EF%BC%B3%EF%BC%A5%EF%BC%B3+%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E9%96%A2%E9%80%A3%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA,SES 株式会社の求人 | ハローワークの求人を検索,歩合 粗利額のMAX80～50%を月単位で支払い。 - 業務委託・フリーランス. 業務内容は、＜人材の発掘・確保⇒顧客との打合せ⇒提案活動⇒面談設定⇒商談の成約⇒契約関連の事務処理⇒稼働人材のサポート＞となりますが、経験や希望に応じて、業務範囲を限定することや支援・サポートを受けることも可能です。 不安な点は相談しながら進めることが可能です。 ... SES事業及び職業訓練校を運営している当社の総務人事部にて、下記のお仕事をお任せします。 こ... ★IT未経験歓迎！ 客先常駐を中心として、受託案件で上流工程から下流工程まで幅広く挑戦できる★. 現在は多数のエンジニアやプログラマーが在籍中です。 新たにSESとして一緒に働く仲間を大募集中！,hellowork.careers,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%EF%BC%B3%EF%BC%A5%EF%BC%B3%E9%96%A2%E9%80%A3%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA,株式会社 SESの求人 | ハローワークの求人を検索,SESとは、「システムエンジニアリングサービス」の略でIT業界における契約形態の一つです。 SES営業は、案件を持っている会社に営業して「人材不足してませんか?当社の技術提供しますよ!」と聞いて人材募集中の募...,hellowork.careers,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://en-gage.net/search/job/sales/feature/tampatsu-ok,営業系×単発・1日のみOKの求人情報 | エンゲージ,【フルリモート・副業での業務OK】完全成果報酬型のSES営業（業務委託）募集！ 裁量大でガッツリ稼げる 給与 完全成果報酬 成約粗利の50％を支給（完全成果報酬） 稼働初月は粗利の100％を支給！,en-gage.net,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://xn--pckua2a7gp15o89zb.com/%E5%96%B6%E6%A5%AD%E3%81%AE%E4%BB%95%E4%BA%8B-%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82,営業の転職・求人情報 - 愛知県 名古屋市｜求人ボックス,SES営業／システムインテグレータ・ソフトハウス 株式会社クリア 裁量大きく副業もOK 愛知県 名古屋市 名古屋駅 年収420万円～540万円 正社員 SES 営業 として、エンジニアと案件のマッチングをはじめとする 営業 業務全般を担当いただきます。 クライアント ...,xn--pckua2a7gp15o89zb.com,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://xn--pckua2a7gp15o89zb.com/jbi/ff2d9fcb2d968033998e58d25a4ec33e,ZAZA株式会社 週3日〜OK／シフト自由／完全在宅！製造業向け ...,"週3日からOK、完全在宅＆シフト自由で働ける製造業向けオンライン営業の募集です。 日本最大級の製造業DXプラットフォーム「Metoree」を提案し、法人顧客の集客・販促課題を解決します。 家庭やプライベートと両立しながら、やりがいある仕事に取り組める環境です。 「Metoree」は、産業用製品の検索・比較が可能な日本最大級の製造業プラットフォームです。 取引規模180兆円の製造業市場において、製品選定や企業間取引をオンライン化し、業界全体の効率化と成長を支援。 現在80,000社以上が掲載し、テレビCMやオンライン広告で急速に認知を拡大しています。 報酬は時間報酬制となります。 ※契約開始初月は、原則として2,500円～3,000円（税込）の範囲でスタートします。",xn--pckua2a7gp15o89zb.com,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://jp.stanby.com/r_28c265de5534358ccd1dc7f29a3c8ef4,神奈川県横浜市のSES 営業の求人・仕事・採用｜スタンバイでお ...,神奈川県横浜市のSES 営業の求人が97275件掲載。LINEヤフーグループのスタンバイで日本中の求人サイト等から集めた求人をまとめて一括検索。,jp.stanby.com,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://next.rikunabi.com/job_search/area-aichi/oc-sales/prf-030,愛知県、営業・販売、土日祝休みの転職・求人情報 - リクナビNEXT,愛知県、営業・販売、土日祝休みの求人・転職情報の一覧ページです。あなたに合った求人を見つけよう！【リクナビNEXT】は、求人情報はもちろん、スカウト機能や転職のノウハウなどお役立ちコンテンツで、あなたの転職活動をサポートする転職サイトです。,next.rikunabi.com,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://tenshoku.mynavi.jp/jobinfo-436734-1-1-1,株式会社アクシズの求人情報／未経験からIT業界の扉を開く ...,「SES営業」とは？ さまざまなITプロジェクトと、それを手がけるエンジニアをつなぐのがSES営業！ この度、新たな仲間を募集します。 意欲があればしっかり成長できるから、未経験の方も大歓迎！ モチベーションが自然と湧く！,tenshoku.mynavi.jp,2026-07-02
"""SES営業"" ""歩合"" ""粗利""",https://note.com/tomoki_nensyuup/n/n35f8604124c4,20代で年収800万を目指すなら「it システム 営業」が最短ルート ...,多くのIT企業では、基本給に加えて「インセンティブ（歩合給）」や「業績連動賞与」が導入されています。,note.com,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://ses-labo.com/sales/ses-sales-agency-side-job,SES営業代行は副業でいくら儲かる？報酬率やインセンティブの ...,SES営業代行の副業に興味はありませんか？ 本記事では、具体的な業務内容や報酬・インセンティブの相場から、失敗しない始め方の5つのステップまで徹底解説します。 収入シミュレーションや税金の注意点も把握し、効率よく稼ぎましょう。,ses-labo.com,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://employment.en-japan.com/desc_1369974,株式会社ミラスタの転職・求人情報｜エン転職｜SES営業 IT業界 ...,【月100万円】も実現できるストック型のインセンティブを採用しており、取引が継続するほど売上が積み上がっていくため、将来的には既存顧客のみで高収入を得ることも可能です。 さらに、数字さえクリアしてしまえば、その後は時短勤務への切り替えもOK。 社内には、毎月早々に目標を達成して11時～16時に勤務時間を変更し、余裕を持って子どものお迎えに行っているという先輩も在籍しています。 プロセスよりも成果を重視しているため、「どう売上を立てるか」はあなたの自由。 入社4～5年目の平均年収550万円を実現するなど、確かな稼ぎやすさを備えた当社で、あなたがこれまで培ってきた“営業スキル”を発揮してみませんか？ クライアント企業への提案やITエンジニアの確保を担うSES営業をお任せします。,employment.en-japan.com,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://www.select-s.jp/column/ses-sales-tight,SES営業は本当にきつい？5つの理由と得られる5つの能力 ...,SES（システムエンジニアリングサービス）営業は、「IT業界で働く営業職」として注目されていますが、一方で 「ノルマが厳しい」「エンジニアとの板挟み」「契約形態が複雑で覚えることが多い」 など、厳しい一面もあります。 実際のところ、SES営業は本当にきついのでしょうか？ 本記事では、 SES営業の仕事内容や年収、なぜきついと言われるのかを具体的に解説 します。 さらに、 SES営業で得られるスキルやキャリアパス、転職先の選択肢についても詳しく紹介 していきます。 SES営業を目指している方、現在SES営業をしていて転職を考えている方にとって、役立つ情報をまとめました。 ぜひ最後までご覧ください！ SES営業とは？ 仕事内容を紹介. 1. クライアント（企業）の新規開拓. 2.,select-s.jp,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://type.jp/job-5/1353494_detail,株式会社イルミナの転職・求人情報|SES営業／職業紹介営業 ...,SES営業経験者なら、この怖さを知っているはずです。 当社にはその心配がありません。 設立10年で築いたBP取引先は約800社。 入社初日から、案件情報・要員情報が 日常的に流通するネットワークにアクセスできます。,type.jp,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://employment.en-japan.com/comp-113335,株式会社ミラスタ（113335）の転職・求人情報｜【エン】の ...,SES営業 IT業界未経験OK／ストック型のインセンティブあり／平均年収550万円 株式会社ミラスタ 正社員 業種未経験OK 学歴不問 完全週休2日 残業月20h以内 内定まで2週間 面接1回のみ 転勤なし,employment.en-japan.com,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://jp.indeed.com/q-ses-%e5%96%b6%e6%a5%ad%e5%89%af%e6%a5%ad-%e6%b1%82%e4%ba%ba.html,Ses 営業副業の求人 | Indeed (インディード),"Ses 営業副業の求人は5,786件あります。営業, It営業, 技術者などの仕事・転職・アルバイト情報もまとめて検索。 ・SES営業経験者（未経験の場合は、立ち上がりに時間を使える方） ・顧客や人材と円滑なコミュニケーションがとれる方 ・オンラインMTG環境が整っている方（PCや通信環境や静かな ...",jp.indeed.com,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://townwork.net/viewjob/jobid_24d2ea2ca7053f13,株式会社テックエデュケイションカンパニー _ 東京本社の ...,仕事内容 仕事内容 第二新卒歓迎！ 若手が多数活躍中 年間休日129日＋土日祝休み 月給35万円以上＋ストック型インセンティブ 最短2年で年収900万以上も 直行直帰OKで働き方は自由！,townwork.net,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://type.jp/job-company/48708,株式会社イルミナの求人・中途採用－転職ならtype,SES営業にありがちな 「ノルマに追われて無理なマッチングをする」 「技術が分からないまま案件を右から左に流す」 といった課題に対し、 同社では売上ノルマを設けず、 粗利の20%を毎月還元するストック型の報酬制度を構築。,type.jp,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://jp.indeed.com/q-%e6%a5%ad%e5%8b%99%e5%a7%94%e8%a8%97-%e5%96%b6%e6%a5%ad-%e6%b1%82%e4%ba%ba.html,業務委託 営業の求人 | Indeed (インディード),"高単価な教育サービスを扱うため、成約時の高いインセンティブ成果報酬型（業務委託契約）。 -インセンティブ金額：52,000円〜87,800円/件（受注プランにより変動）。 -モデル報酬例（実績ベース）：80時間稼働で516,480円を達成している方もいます。",jp.indeed.com,2026-07-02
"""SES営業"" ""ストック型"" ""インセンティブ""",https://doda.jp/DodaFront/View/JobSearchList/j_k__/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A6%E3%83%8B%E3%82%BE%E3%83%B3,【株式会社ユニゾン】の転職・求人・中途採用情報│doda ...,履歴書より意欲や積極性を重視した採用です！ 月給37万5335円～70万円＋ストック型インセンティブ★初年度想定年収：450万円～600万円※経験・スキルに... 情報システム、アプリケーション設計・開発事業情報インフラストラクチャーの設計・開発事業デジタルマーケティング事業I... ★U-29積極採用！ 未経験大歓迎！ ★立ち上げ1年未満の部署で事業を牽引！ ★変化の早いIT業界で好奇心を満たす！ ★実績を出して年収1000万円貰おう！ ★成長を継続できる支援体制完備！,doda.jp,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://www.bp.com,bp global,"bp is a global energy company. We produce oil and gas, trade energy, and make, ship and sell energy products. These include petrol, diesel and jet fuel, gas for heating homes and generating electricity, and the raw materials needed to make millions of everyday products from medicines to mobile phones.",bp.com,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://ja.wikipedia.org/wiki/BP_(%E4%BC%81%E6%A5%AD),BP (企業) - Wikipedia,BP (企業) ... BP （ビーピー 英: BP plc 、旧ブリティッシュ・ペトロリアム 英： The British Petroleum Company plc）は、 イギリス ・ ロンドン に本社を置き、石油・ガス等のエネルギー関連事業を展開する 多国籍企業。,ja.wikipedia.org,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://www.bp.com/about-us/what-we-do/bp-worldwide/bp-in-japan,Japan,"Today – BP Japan K.K. is a company registered in Japan and wholly owned by bp p.l.c., while bp Castrol K.K. is a listed company on the Tokyo Stock Exchange and in the bp group.",bp.com,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://www.castrol.jp/industrial/company,企業情報 – bpジャパン株式会社,カストロールは、bp社の潤滑油ブランドです。 bpはイギリスに本社を置き、グローバルで事業を展開する世界最大級の総合エネルギー企業です。 MESSAGE メッセージ 私たちの使命は、人々と地球のためにエネルギーの将来を見直すことです。,castrol.jp,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://www.castrol.jp/industrial,bpジャパン株式会社,展示会・キャンペーン EVENT / CAMPAIGN 展示会 JIMTOF2024 カストロールは、bp社のブランドです。 私たちは、グローバル総合エネルギー企業として、 持続可能な社会の実現に取り組んでいます。 READ MORE,castrol.jp,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://tenshoku.mynavi.jp/engineer/guide/articles/YFgcPRAAACEAvp_L,BPとはどんな意味？IT業界での役割と関連用語を解説！ - アンド ...,BPとは、事業を進める上で必要とされる一連のサイクルの中で、共同で物事を進める関係を持つ人、または企業を指します。本記事では、IT業界におけるBPの定義やBPに関連する用語について解説します。BPについて知りたい方は、参考にしてください。,tenshoku.mynavi.jp,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://en.wikipedia.org/wiki/BP,BP - Wikipedia,"The company has around 21,200 service stations worldwide, [1] which it operates under the BP brand (worldwide) and under the Amoco brand (in the U.S.) and the Aral brand (in Germany). [7] Its largest division is BP America in the United States.",en.wikipedia.org,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://www.bridal-produce.co.jp,株式会社BP （旧社名：株式会社ブライダルプロデュース）,だからこそBPは、つねにあたらしいHAPPINESSの形を追い求めます。 そして、一人ひとりの人生に寄り添い、真新しいHAPPINESSを届け続けます。 私たちは、これからも、一生つづくLIFETIME HAPPINESSを提供していくことを約束します。,bridal-produce.co.jp,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://bptokyo.official.ec,BP. official online store,"インテリアにまつわる照明器具やオブジェ、ハンドルなどの金物 ""There are things known and there are things unknown, and in between are the doors of perception.""",bptokyo.official.ec,2026-07-02
"""BP営業"" ""粗利"" ""インセンティブ""",https://www.nikkei.com/article/DGXZQOUC2507Z0V21C25A2000000,BP、車潤滑油事業を売却 9千億円「カストロール」,【ブリュッセル=共同】英石油大手BPは24日、自動車用や工業用に展開する「カストロール」ブランドの潤滑油事業に関し、株式の65%を米投資会社 ...,nikkei.com,2026-07-02
"""BP営業"" ""粗利"" ""%""",https://x.com/SES1285231/status/2045754796762911044,SES営業の独立タイミング、 ほとんどの人が遅すぎる。 動くべき ...,①BP営業で粗利を稼げるようになった 契約先を自分の会社にスライドするだけで売上があがります ②売上目標を達成しても昇給がない時 雇われSES営業は高給にはなれません。 どれだけ達成してもすぐ頭打ちになります ③弱小SESでもバイアウトできると知っ ...,x.com,2026-07-02
"""BP営業"" ""粗利"" ""%""",https://note.com/yshirt_ch/n/na2b14f0c96ee,キーエンス解剖 / 凡事徹底も洗練すれば粗利8割になるものなの ...,今回取り上げる一冊、いや一企業の営業利益率はなんと51.9%。 売上高から売上原価を引いた売上総利益、つまりは粗利益は約8900億円、粗利率として見ると約84%と驚異的な数字になっていることがわかります（いずれも2025年3月期）。,note.com,2026-07-02
