skill,count,source,reason,suggested_canonical
リーダーもしくはサブリーダー経験,3,案件,OOVレポート101位以降,
メーカーへの問合せ対応経験,3,案件,OOVレポート101位以降,
顧客向け説明資料作成経験,3,案件,OOVレポート101位以降,
SAM,3,案件,OOVレポート101位以降,
標準カスタマイズ経験,3,案件,OOVレポート101位以降,
Apex,3,案件,OOVレポート101位以降,
LWC開発,3,案件,OOVレポート101位以降,
顧客折衝スキル,3,案件,OOVレポート101位以降,
Webアプリケーションの開発実務経験,3,案件,OOVレポート101位以降,
CodeIgniter,3,案件,OOVレポート101位以降,
要件整理,3,案件,OOVレポート101位以降,
BGPルーティングの知識,3,案件,OOVレポート101位以降,
ダイナミックVLAN,3,案件,OOVレポート101位以降,
VRRP,3,案件,OOVレポート101位以降,
LAG,3,案件,OOVレポート101位以降,
製造業システムの知識,3,案件,OOVレポート101位以降,
即日入場可能,3,案件,OOVレポート101位以降,
BIツール（ThoughtSpot）のダッシュボード化経験,3,案件,OOVレポート101位以降,
SpotlQの知見,3,案件,OOVレポート101位以降,
業務改善／DX推進の経験,3,案件,OOVレポート101位以降,
システム導入／選定の経験,3,案件,OOVレポート101位以降,
経理システムに関する知見,3,案件,OOVレポート101位以降,
FlexGrid,3,案件,OOVレポート101位以降,
Microsoft Teams,3,案件,OOVレポート101位以降,
自主性,3,案件,OOVレポート101位以降,
移行計画書執筆経験,3,案件,OOVレポート101位以降,
ドキュメントレビュー経験,3,案件,OOVレポート101位以降,
官公庁案件の参画経験,3,案件,OOVレポート101位以降,
カスタマーサポート,3,案件,OOVレポート101位以降,
PCスキル,3,案件,OOVレポート101位以降,
ITに関する基礎知識,3,案件,OOVレポート101位以降,
大規模プロジェクト経験,3,案件,OOVレポート101位以降,
小売業知見,3,案件,OOVレポート101位以降,
一般的な基幹系システムの知見,3,案件,OOVレポート101位以降,
販売管理,3,案件,OOVレポート101位以降,
物流管理,3,案件,OOVレポート101位以降,
需給管理,3,案件,OOVレポート101位以降,
顧客問い合わせ対応・障害調査経験,3,案件,OOVレポート101位以降,
既存システムの調査／影響分析経験,3,案件,OOVレポート101位以降,
長期保守案件での対応経験,3,案件,OOVレポート101位以降,
大手町へ通勤可能,3,案件,OOVレポート101位以降,
NWに関する知見,3,案件,OOVレポート101位以降,
Anritsuシミュレータ操作経験,3,案件,OOVレポート101位以降,
他チームとの折衝経験,3,案件,OOVレポート101位以降,
進捗管理／チームマネジメント経験,3,案件,OOVレポート101位以降,
ラボでの業務経験,3,案件,OOVレポート101位以降,
Nest.js,3,案件,OOVレポート101位以降,
官公庁,3,案件,OOVレポート101位以降,
製造業,3,案件,OOVレポート101位以降,
法改正や税制改正等に伴う既存システムの改修,3,案件,OOVレポート101位以降,
NTT回線やその他回線系の業務経験,3,案件,OOVレポート101位以降,
PDF,3,案件,OOVレポート101位以降,
Teams,3,案件,OOVレポート101位以降,
Outlook,3,案件,OOVレポート101位以降,
日本語能力,3,案件,OOVレポート101位以降,
教材の登録作業,3,案件,OOVレポート101位以降,
教材の内容確認,3,案件,OOVレポート101位以降,
修正,3,案件,OOVレポート101位以降,
画像編集,3,案件,OOVレポート101位以降,
進捗報告,3,案件,OOVレポート101位以降,
主体的なリード経験,3,案件,OOVレポート101位以降,
Microsoft Defender,3,案件,OOVレポート101位以降,
ソースコードレビュー,3,案件,OOVレポート101位以降,
諸々の管理ができる方,3,案件,OOVレポート101位以降,
コミュニケーション良好な方,3,案件,OOVレポート101位以降,
顧客対応,3,案件,OOVレポート101位以降,
パッチ適用,3,案件,OOVレポート101位以降,
RAG,3,案件,OOVレポート101位以降,
Meta広告,3,案件,OOVレポート101位以降,
金融関連プロジェクト,3,案件,OOVレポート101位以降,
会議ファシリテーション,3,案件,OOVレポート101位以降,
面談1回,3,案件,OOVレポート101位以降,
オブジェクト指向,3,案件,OOVレポート101位以降,
未経験,2,案件,OOVレポート101位以降,
PC事務経験,2,案件,OOVレポート101位以降,
正確性,2,案件,OOVレポート101位以降,
問題解決能力,2,案件,OOVレポート101位以降,
ユーザ寄り添って能動的に動ける,2,案件,OOVレポート101位以降,
)」に〇×をください,2,案件,OOVレポート101位以降,
進捗管理を担う即戦力エンジニア募集,2,案件,OOVレポート101位以降,
同一の現場で継続して2年以上の勤務経験,2,案件,OOVレポート101位以降,
モバイルゲームの1年以上のバージョンアップ開発進行管理経験,2,案件,OOVレポート101位以降,
開発の企画書・仕様書の作成経験,2,案件,OOVレポート101位以降,
ゲーム全般が好きでやりこんでいる方,2,案件,OOVレポート101位以降,
モバイルゲームをやりこんでいる方,2,案件,OOVレポート101位以降,
モバイルゲームを”もっと面白くしたい”と考えられている方,2,案件,OOVレポート101位以降,
概要の指示で作業の意図の把握ができ、自走が可能な方,2,案件,OOVレポート101位以降,
共同作業に際し、対人折衝能力があり、サービス精神の旺盛な方,2,案件,OOVレポート101位以降,
自ら作業を進め、チームを円滑にし、プロジェクトを完成に導くために主体的に行動できる方,2,案件,OOVレポート101位以降,
担当するタイトルのプレイを意欲的・継続的に行える方,2,案件,OOVレポート101位以降,
ワイヤーフレーム作成,2,案件,OOVレポート101位以降,
プロジェクト推進経験,2,案件,OOVレポート101位以降,
徹底した顧客視点,2,案件,OOVレポート101位以降,
課題解決力,2,案件,OOVレポート101位以降,
ステークホルダー巻き込み力,2,案件,OOVレポート101位以降,
運用をベースに改善・最適化に主体的に取り組める方,2,案件,OOVレポート101位以降,
レガシー環境の課題整理や標準化に前向きな方,2,案件,OOVレポート101位以降,
属人化した運用の整理・仕組み化に興味がある方,2,案件,OOVレポート101位以降,
長期的にサービス運用に関わり、継続的な改善を行える方,2,案件,OOVレポート101位以降,
関係者と連携しながら現実的な改善を進められる方,2,案件,OOVレポート101位以降,
アジャイル開発の経験,2,案件,OOVレポート101位以降,
問題定義力,2,案件,OOVレポート101位以降,
ソーシャルゲーム,2,案件,OOVレポート101位以降,
OSS,2,案件,OOVレポート101位以降,
現行システムの業務仕様理解,2,案件,OOVレポート101位以降,
長期就業,2,案件,OOVレポート101位以降,
アジャイル、スクラム開発のご経験,2,案件,OOVレポート101位以降,
スマホアプリ開発のご経験,2,案件,OOVレポート101位以降,
長期プロジェクト（2年以上）の経験,2,案件,OOVレポート101位以降,
BCP対応に関する経験,2,案件,OOVレポート101位以降,
仕様に関する調査や、各種照会への対応業務,2,案件,OOVレポート101位以降,
自走できるシニアレベルの技術力,2,案件,OOVレポート101位以降,
長期で参画できる方,2,案件,OOVレポート101位以降,
コールセンターのアウトバウンド,2,案件,OOVレポート101位以降,
フィールドセールスの経験,2,案件,OOVレポート101位以降,
Webフロントエンド開発,2,案件,OOVレポート101位以降,
ユーザー体験に真摯に向き合い、チームと協力して価値を届けたい,2,案件,OOVレポート101位以降,
幅広いスキル,2,案件,OOVレポート101位以降,
中長期の視野,2,案件,OOVレポート101位以降,
チーム成果重視,2,案件,OOVレポート101位以降,
事業会社人格,2,案件,OOVレポート101位以降,
能動的な推進,2,案件,OOVレポート101位以降,
toC向けプロダクト開発,2,案件,OOVレポート101位以降,
自ら現場を調査し提案するマインド,2,案件,OOVレポート101位以降,
接客,2,案件,OOVレポート101位以降,
カウンセリング,2,案件,OOVレポート101位以降,
フロントエンド技術選定,2,案件,OOVレポート101位以降,
Zoom,2,案件,OOVレポート101位以降,
NIST CSF,2,案件,OOVレポート101位以降,
ISO27001,2,案件,OOVレポート101位以降,
PJ管理業務,2,案件,OOVレポート101位以降,
負荷分散,2,案件,OOVレポート101位以降,
過去に同一顧客（MS＆AD）での開発,2,案件,OOVレポート101位以降,
社員支援の経験,2,案件,OOVレポート101位以降,
コミュニケーションが良好で自走ができる方,2,案件,OOVレポート101位以降,
課題、問題点の整理・取りまとめや資料作成、関係者との調整,2,案件,OOVレポート101位以降,
顧客にかわって報告業務,2,案件,OOVレポート101位以降,
Next,2,案件,OOVレポート101位以降,
業務要件整理,2,案件,OOVレポート101位以降,
キャッチアップ能力,2,案件,OOVレポート101位以降,
エンド直案件,2,案件,OOVレポート101位以降,
フロントエンド開発,2,案件,OOVレポート101位以降,
プロジェクト推進,2,案件,OOVレポート101位以降,
リファクタリング,2,案件,OOVレポート101位以降,
リード,2,案件,OOVレポート101位以降,
"ToDo,課題管理の推進",2,案件,OOVレポート101位以降,
CrowdStrike,2,案件,OOVレポート101位以降,
積極性,2,案件,OOVレポート101位以降,
Z/OS,2,案件,OOVレポート101位以降,
IBM,2,案件,OOVレポート101位以降,
CPU,2,案件,OOVレポート101位以降,
基盤更改,2,案件,OOVレポート101位以降,
VBScript,2,案件,OOVレポート101位以降,
ASP,2,案件,OOVレポート101位以降,
作業理解力,2,案件,OOVレポート101位以降,
基地局系の経験,2,案件,OOVレポート101位以降,
ヒューマンスキル,2,案件,OOVレポート101位以降,
受け身では無く、能動的に動ける方,2,案件,OOVレポート101位以降,
調査,2,案件,OOVレポート101位以降,
40代までを希望,2,案件,OOVレポート101位以降,
AJS,2,案件,OOVレポート101位以降,
人物、勤怠良い,2,案件,OOVレポート101位以降,
導入,2,案件,OOVレポート101位以降,
サポート,2,案件,OOVレポート101位以降,
事務,2,案件,OOVレポート101位以降,
Webマーケティング,2,案件,OOVレポート101位以降,
IBM Cloud,2,案件,OOVレポート101位以降,
円滑なコミュニケーション能力,2,案件,OOVレポート101位以降,
アーキテクト,2,案件,OOVレポート101位以降,
レビュー経験,2,案件,OOVレポート101位以降,
IM-BloomMaker,2,案件,OOVレポート101位以降,
Purview,2,案件,OOVレポート101位以降,
リスティング広告,2,案件,OOVレポート101位以降,
証券知識,2,案件,OOVレポート101位以降,
育成,2,案件,OOVレポート101位以降,
コーチング,2,案件,OOVレポート101位以降,
システム更改または移行PJ経験,2,案件,OOVレポート101位以降,
進捗管理経験,2,案件,OOVレポート101位以降,
データ管理,2,案件,OOVレポート101位以降,
拡張性,2,案件,OOVレポート101位以降,
コミュニケーション良好,2,案件,OOVレポート101位以降,
関係者へのヒアリング経験,2,案件,OOVレポート101位以降,
上流,2,案件,OOVレポート101位以降,
Symfony,2,案件,OOVレポート101位以降,
WPF,2,案件,OOVレポート101位以降,
X広告,2,案件,OOVレポート101位以降,
TikTok広告,2,案件,OOVレポート101位以降,
LINE広告,2,案件,OOVレポート101位以降,
Criteo,2,案件,OOVレポート101位以降,
Adjust,2,案件,OOVレポート101位以降,
AppsFlyer,2,案件,OOVレポート101位以降,
情シス,2,案件,OOVレポート101位以降,
購買管理システム,2,案件,OOVレポート101位以降,
細かい作業や取りまとめが苦じゃない方,2,案件,OOVレポート101位以降,
Microsoft Fabric,2,案件,OOVレポート101位以降,
オントロジー,2,案件,OOVレポート101位以降,
ナレッジグラフ,2,案件,OOVレポート101位以降,
Qt5,2,案件,OOVレポート101位以降,
Qt6,2,案件,OOVレポート101位以降,
の実績について,2,案件,OOVレポート101位以降,
エンド直,2,案件,OOVレポート101位以降,
3回,2,案件,OOVレポート101位以降,
長期で対応を頂ける方,2,案件,OOVレポート101位以降,
設定,2,案件,OOVレポート101位以降,
pmo補佐,2,案件,OOVレポート101位以降,
勤怠が安定しており,1,案件,OOVレポート101位以降,
常駐が問題ないこと,1,案件,OOVレポート101位以降,
公認会計士,1,案件,OOVレポート101位以降,
アウトバウンド,1,案件,OOVレポート101位以降,
フィールドセールス,1,案件,OOVレポート101位以降,
ユーザー体験に真摯に向き合い、チームと協力して価値を届ける,1,案件,OOVレポート101位以降,
幅広く,1,案件,OOVレポート101位以降,
中長期の視野を持てる,1,案件,OOVレポート101位以降,
toC向けプロダクト,1,案件,OOVレポート101位以降,
合意形成,1,案件,OOVレポート101位以降,
折衝,1,案件,OOVレポート101位以降,
フレームワーク,1,案件,OOVレポート101位以降,
業務知識,1,案件,OOVレポート101位以降,
主体的に業務を推進,1,案件,OOVレポート101位以降,
FW使用経験,1,案件,OOVレポート101位以降,
20代～30代を希望,1,案件,OOVレポート101位以降,
女性が好ましい,1,案件,OOVレポート101位以降,
PoC/プロトタイプ開発,1,案件,OOVレポート101位以降,
業務理解,1,案件,OOVレポート101位以降,
車の運転が可能な方,1,案件,OOVレポート101位以降,
キャッチアップ能力が高い方,1,案件,OOVレポート101位以降,
ユーザーサポート,1,案件,OOVレポート101位以降,
現場直案件,1,案件,OOVレポート101位以降,
現場での継続勤務経験,1,案件,OOVレポート101位以降,
企画書・仕様書作成経験,1,案件,OOVレポート101位以降,
UAT仕様書作成,1,案件,OOVレポート101位以降,
大手企業との折衝・アカウントマネジメント経験,1,案件,OOVレポート101位以降,
大規模プロジェクトにおけるマネジメント／PO経験,1,案件,OOVレポート101位以降,
多様な関係者との合意形成・ブリッジスキル,1,案件,OOVレポート101位以降,
50〜100名規模の大規模組織における開発プロセス改善経験,1,案件,OOVレポート101位以降,
技術力だけでなく、相手の立場を尊重し、論理的に合意形成できる方,1,案件,OOVレポート101位以降,
指示待ちではなく、自ら課題を発見し、主体的にプロジェクトを推進できる方,1,案件,OOVレポート101位以降,
厳しい要望に対しても感情的にならず、誠実かつ粘り強く対話できる方,1,案件,OOVレポート101位以降,
経営層からITリテラシーの高くない現場層まで、相手の目線に合わせて説明できる方,1,案件,OOVレポート101位以降,
施術サポート,1,案件,OOVレポート101位以降,
予約管理,1,案件,OOVレポート101位以降,
経験豊富なベテランエンジニア希望,1,案件,OOVレポート101位以降,
負荷試験計画,1,案件,OOVレポート101位以降,
解析,1,案件,OOVレポート101位以降,
改善提案,1,案件,OOVレポート101位以降,
Webシステム開発の経験,1,案件,OOVレポート101位以降,
Xamarin,1,案件,OOVレポート101位以降,
現行システムの業務仕様理解ができる方,1,案件,OOVレポート101位以降,
長期就業前提,1,案件,OOVレポート101位以降,
Pytest,1,案件,OOVレポート101位以降,
スクラム,1,案件,OOVレポート101位以降,
要件ヒアリング,1,案件,OOVレポート101位以降,
CodePipeline,1,案件,OOVレポート101位以降,
CodeCommit,1,案件,OOVレポート101位以降,
スマホアプリ開発,1,案件,OOVレポート101位以降,
長期プロジェクトの経験,1,案件,OOVレポート101位以降,
BCP対応経験,1,案件,OOVレポート101位以降,
ハードウェア障害対応,1,案件,OOVレポート101位以降,
性能監視,1,案件,OOVレポート101位以降,
Webアプリ開発,1,案件,OOVレポート101位以降,
バッチアプリ開発,1,案件,OOVレポート101位以降,
Webアプリ,1,案件,OOVレポート101位以降,
車の運転,1,案件,OOVレポート101位以降,
商流制限,1,案件,OOVレポート101位以降,
個人事業主,1,案件,OOVレポート101位以降,
急募案件,1,案件,OOVレポート101位以降,
rds,1,案件,OOVレポート101位以降,
kvsのチューニング経験,1,案件,OOVレポート101位以降,
ecs,1,案件,OOVレポート101位以降,
sidekiq,1,案件,OOVレポート101位以降,
ビッグデータ,1,案件,OOVレポート101位以降,
BIツール,1,案件,OOVレポート101位以降,
能動的に仕事に取り組む,1,案件,OOVレポート101位以降,
バッチアプリケーション,1,案件,OOVレポート101位以降,
主体的に推進,1,案件,OOVレポート101位以降,
本番移行,1,案件,OOVレポート101位以降,
自走できる,1,案件,OOVレポート101位以降,
シニアレベル,1,案件,OOVレポート101位以降,
車の運転可能,1,案件,OOVレポート101位以降,
ベンダーコントロールの経験,1,案件,OOVレポート101位以降,
メンバーマネジメントの経験,1,案件,OOVレポート101位以降,
IBMホストのアーキテクチャの知識,1,案件,OOVレポート101位以降,
Yii2,1,案件,OOVレポート101位以降,
Yii3,1,案件,OOVレポート101位以降,
ToDo管理,1,案件,OOVレポート101位以降,
インシデント原因の特定,1,案件,OOVレポート101位以降,
レポート作成,1,案件,OOVレポート101位以降,
リーダー/サブリーダー等でメンバー管理,1,案件,OOVレポート101位以降,
ドキュメント作成能力,1,案件,OOVレポート101位以降,
業務手順の移行支援,1,案件,OOVレポート101位以降,
クライアントPCのキッティング,1,案件,OOVレポート101位以降,
システム移行計画書作成,1,案件,OOVレポート101位以降,
ITリード,1,案件,OOVレポート101位以降,
生保業務経験,1,案件,OOVレポート101位以降,
プロダクトオーナー経験,1,案件,OOVレポート101位以降,
スクラム方式,1,案件,OOVレポート101位以降,
コンサルタント,1,案件,OOVレポート101位以降,
リリース,1,案件,OOVレポート101位以降,
調査分析作業経験,1,案件,OOVレポート101位以降,
商流,1,案件,OOVレポート101位以降,
ルネサス製マイコン,1,案件,OOVレポート101位以降,
英語での読み書きが可能,1,案件,OOVレポート101位以降,
製薬業界案件への参画経験,1,案件,OOVレポート101位以降,
英語での日常会話が可能な方,1,案件,OOVレポート101位以降,
全共連のシステムに詳しいまたは全共連の案件参画実績がある方,1,案件,OOVレポート101位以降,
生命保険業界知識,1,案件,OOVレポート101位以降,
Honoの知見,1,案件,OOVレポート101位以降,
Prismaの知見,1,案件,OOVレポート101位以降,
ITサポート経験 2年以上,1,案件,OOVレポート101位以降,
PCトラブル対応経験,1,案件,OOVレポート101位以降,
クラシックASP,1,案件,OOVレポート101位以降,
軽微な改修,1,案件,OOVレポート101位以降,
長期,1,案件,OOVレポート101位以降,
保守作業,1,案件,OOVレポート101位以降,
開発作業,1,案件,OOVレポート101位以降,
JSF,1,案件,OOVレポート101位以降,
PrimeFaces,1,案件,OOVレポート101位以降,
光回線設置業務,1,案件,OOVレポート101位以降,
長期継続可能な方を希望,1,案件,OOVレポート101位以降,
基地局経験者,1,案件,OOVレポート101位以降,
事務経験者,1,案件,OOVレポート101位以降,
