key,canonical,reject_code,note
javaを用いたwebアプリケーション開発経験,WEBアプリケーション開発,R1,助詞含み
javaコードのリファクタリングができる,Java,R1,助詞含み
java以外の言語(php等)での開発経験,開発経験,R1,助詞含み
java案件,Java,R4,危険canonical=Java
java案件】java,Java,R3,求人ノイズ記号含み
java等のアプリケーション構造の理解,Java,R1,助詞含み
java要件定義〜,Java,R3,求人ノイズ記号含み
java設計 開発経験,開発経験,R4,危険canonical=開発経験
java運用保守,Java,R4,危険canonical=Java
java開発の設計、製造、テストまで一貫して対応,Java,R1,助詞含み
jetpackcomposeでの開発経験,開発経験,R1,助詞含み
jira service management,Jira,R2,空白2個以上
jiraの管理 操作経験,Jira,R1,助詞含み
jp1(base,JP1,R15,括弧/カンマ含み
jp1(ジョブ 監視,JP1,R15,括弧/カンマ含み
jp1の利用経験,JP1,R1,助詞含み
jsm(jira service management,Jira,R2,英数27字超
kmpでの開発経験,開発経験,R1,助詞含み
kong ai gateway等のaiゲートウェイ製品の知見,AI,R1,助詞含み
kotlinでのモバイルアプリ開発経験3年,Kotlin,R1,助詞含み
kpi設計,設計,R4,危険canonical=設計
l2/l3設計 構築,構築,R4,危険canonical=構築
lambda(python,Lambda,R15,括弧/カンマ含み
lambda(python)の開発経験,Lambda,R1,助詞含み
lamp,LAMP,R9,短英字キー(lamp)
lamp(linux,Linux,R15,括弧/カンマ含み
lan/ネットワーク構成に関する基本知識,ネットワーク,R1,助詞含み
lb(big-ip)構築,構築,R15,括弧/カンマ含み
lb構築,構築,R4,危険canonical=構築
linuxの基本知識および運用経験,Linux,R1,助詞含み
linuxの操作経験,Linux,R1,助詞含み
linuxの移行経験,Linux,R1,助詞含み
linux環境でossを活用しながらのシステム開発の経験,Linux,R1,助詞含み
linux環境での開発,Linux,R1,助詞含み
linux環境での開発経験,Linux,R1,助詞含み
linux環境を1人称で触れる方,Linux,R1,助詞含み
linux環境下での作業経験,Linux,R1,助詞含み
llm(大規模言語モデル)のファインチューニング,LLM,R1,助詞含み
llmアプリケーションの実装経験,LLM,R1,助詞含み
microsoft 365(a365,Microsoft 365,R15,括弧/カンマ含み
microsoft 365の基本的な運用経験,Microsoft 365,R1,助詞含み
microsoft 365環境の構築,Microsoft 365,R1,助詞含み
microsoft entra id,Microsoft Entra ID,R2,空白2個以上
microsoft fabricのアーキテクチャ設計経験,設計,R1,助詞含み
microsoft officeの基礎知識,Microsoft Office,R1,助詞含み
mvvmアーキテクチャを用いた開発経験,MVVM,R1,助詞含み
mysql)での開発経験を有すること,MySQL,R1,助詞含み
mysqlのチューニング経験,MySQL,R1,助詞含み
mysqlのテーブル設計 クエリチューニング,MySQL,R1,助詞含み
mysqlを用いたテーブル設計およびクエリチューニング,MySQL,R1,助詞含み
notes dbの構成に関する基礎的な知識,DB,R1,助詞含み
nwの設計 構築経験,構築経験,R1,助詞含み
nw工事における調整業務経験,調整,R1,助詞含み
nw構築,構築,R4,危険canonical=構築
nw設計構築経験,構築経験,R4,危険canonical=構築経験
nw設計経験,設計,R4,危険canonical=設計
office操作スキル(word,Office,R15,括弧/カンマ含み
office製品をビジネスレベルで利用できる方,Office,R1,助詞含み
oracle cloud infrastructure (oci,Oracle Cloud,R2,英数32字超
oracle database ee設計,Database,R2,空白2個以上
oracleデータベースの実務経験者,Oracle,R1,助詞含み
ossを用いた冗長化,冗長化,R1,助詞含み
os及びdb2の数年以上の運用経験,運用経験,R1,助詞含み
otセキュリティに関する知見,セキュリティ,R1,助詞含み
paloaltoファイアウォールの経験,ファイアウォール,R1,助詞含み
pc、サーバー、nwの障害が起きた際に原因の特定までを自発的に行える,サーバ,R1,助詞含み
pdmやpmとプロダクトについて折衝した経験,PM,R1,助詞含み
php8,PHP,R9,短英字キー(php8)
php開発経験,開発経験,R4,危険canonical=開発経験
php開発経験2~3年以上(9月参画,開発経験,R15,括弧/カンマ含み
php開発経験5年以上(8月参画,開発経験,R15,括弧/カンマ含み
pl/1,PL,R4,危険canonical=PL
pl/i,PL,R4,危険canonical=PL
pl/sqlの設計 実装経験,PL/SQL,R1,助詞含み
plmシステムの導入,PL,R1,助詞含み
pls,PL,R4,危険canonical=PL
plやチームリーダーとして「品質管理(品質分析 報告書作成)」の実務経験,リーダー,R1,助詞含み
pl支援,PL,R4,危険canonical=PL
pmoとしてのpj推進経験,PMO,R1,助詞含み
pmまたはpmoまたはpl経験,PL経験,R1,助詞含み
pmやリーダーなどの経験,リーダー,R1,助詞含み
postgresqlを利用した開発経験,PostgreSQL,R1,助詞含み
power appsおよびpower automateの実装経験,Power Automate,R1,助詞含み
power appsに関する基礎知識,Power Apps,R1,助詞含み
powerappsの設計,設計,R1,助詞含み
powerbiを用いたダッシュボード,Power BI,R1,助詞含み
powerplatform,PL,R4,危険canonical=PL
protocol/nw通信ログ確認経験,ログ,R4,危険canonical=ログ
pytest テストコード実装&テスト,テスト,R4,危険canonical=テスト
pythonを用いたデータ分析,Python,R1,助詞含み
python等を用いたai,Python,R1,助詞含み
rails/specでのテストコードの実務経験,テスト,R1,助詞含み
rdb,DB,R4,危険canonical=DB
rdbまたは分散データベース,データベース,R1,助詞含み
rdb使用,DB,R4,危険canonical=DB
react go aws aurora,AWS Aurora,R2,空白3個以上
react案件,React,R13,求人文脈語含み
red hat enterprise linux,Red Hat,R2,空白3個以上
red hat enterprise linux の設計/構築経験,Red Hat,R1,助詞含み
saas型動画コンテンツ管理システム,SaaS,R2,日本語14字超
saas製品の営業経験者,SaaS,R1,助詞含み
salesforce data cloudの知見,Salesforce,R1,助詞含み
salesforceと他システム連携に関して、上流から一気通貫して対応したご経験,Salesforce,R1,助詞含み
salesforce業務経験3年程度,Salesforce,R13,求人文脈語含み
salesforce開発のご経験,Salesforce,R1,助詞含み
sap apo/ibp(需給計画)の経験,SAP,R1,助詞含み
sap hanaの知見/経験,HANA,R1,助詞含み
sap mm(購買 在庫管理)の経験,SAP,R1,助詞含み
sap pp(生産計画)の経験,SAP,R1,助詞含み
sap sd(販売管理)の経験,SAP,R1,助詞含み
sap wm/ewm(倉庫管理)の経験,SAP,R1,助詞含み
sap保守/運用案件での改修経験,SAP,R1,助詞含み
sap開発経験,開発経験,R4,危険canonical=開発経験
scpt周りのpmo経験,PMO,R1,助詞含み
seo対策,SE,R4,危険canonical=SE
servicenow開発経験3年以上,ServiceNow,R13,求人文脈語含み
se経験,SE,R4,危険canonical=SE
se経験7年以上,SE,R4,危険canonical=SE
sfaの導入実績,Salesforce,R1,助詞含み
shell/powershell等を用いた運用改善 バッチ処理の経験,PowerShell,R1,助詞含み
shellの経験,Shell,R1,助詞含み
sidekiq等のjobを使ったバッチ処理の設計,バッチ処理,R1,助詞含み
snowflakeのご経験,Snowflake,R1,助詞含み
snowflakeのコスト最適化 クエリチューニング経験,Snowflake,R1,助詞含み
snowflakeの知見,Snowflake,R1,助詞含み
snowflakeを用いたdwhの設計 開発実務経験,Snowflake,R1,助詞含み
snowpark(python)を用いたデータ処理の実装経験,Python,R1,助詞含み
splunkの設計 構築経験者,Splunk,R1,助詞含み
splunkを用いた構築経験,Splunk,R1,助詞含み
spring boot sql,Spring,R2,空白2個以上
sqlserverのデータ移行,SQL,R1,助詞含み
sqlserverデータ移行(モバイルicカードdb移行,SQL,R2,日本語14字超
sqlのパフォーマンスチューニング,SQL,R1,助詞含み
sqlを用いたデータ参照/更新の実務経験,SQL,R1,助詞含み
sqlを用いたデータ変換 分析の実務経験,SQL,R1,助詞含み
sqlを用いたデータ抽出、加工経験,SQL,R1,助詞含み
sqlを用いたデータ調査、検証経験,SQL,R1,助詞含み
sql経験必須,SQL,R13,求人文脈語含み
superset,SE,R4,危険canonical=SE
swiftuiでの開発経験,SwiftUI,R1,助詞含み
swiftでのモバイルアプリ開発経験3年,Swift,R1,助詞含み
sw、fwの詳細設計,詳細設計,R1,助詞含み
systemwalkeroperationmanager,Systemwalker,R2,英数28字超
tableau または alteryxの実プロジェクト経験,Tableau,R1,助詞含み
tableauの複数実務経験,Tableau,R1,助詞含み
tcp/ip、dns、ファイアウォール等の基本的なネットワーク知識,ファイアウォール,R1,助詞含み
terraform(ci/cd)の経験,Terraform,R1,助詞含み
thecomposablearchitectureを利用したアプリ開発経験,開発経験,R1,助詞含み
tier2レベルセキュリティー対応,セキュリティ,R13,求人文脈語含み
tp1設計,設計,R4,危険canonical=設計
ucosmi application server経験,PL,R2,空白2個以上
ui/ux設計,設計,R4,危険canonical=設計
ui設計,設計,R4,危険canonical=設計
unix-cobolの開発経験,COBOL,R1,助詞含み
vb.netおよびsqlでの開発経験,VB.NET,R1,助詞含み
vb6,VB6,R9,短英字キー(vb6)
vc++,C++,R9,短英字キー(vc++)
vllm,LLM,R9,短英字キー(vllm)
vm上のjava,Java,R1,助詞含み
"vsphere(vcenter, esxi) の設計構築経験",構築経験,R1,助詞含み
"vxrail, vsphere replication, vmware live site recovery の設計構築経験",VxRail,R1,助詞含み
webアプリケーションの設計 開発実務経験,設計,R1,助詞含み
webアプリケーション開発の実務経験,WEBアプリケーション開発,R1,助詞含み
webアプリ基盤(apache/tomcat等)の運用経験,Tomcat,R1,助詞含み
webアプリ基盤の運用経験,運用経験,R1,助詞含み
webアプリ開発経験,開発経験,R4,危険canonical=開発経験
webシステム開発経験,開発経験,R4,危険canonical=開発経験
webディレクション,ディレクション,R4,危険canonical=ディレクション
webデザイナーとしての実務経験,UI/UXデザイン,R1,助詞含み
webフロントエンド開発経験,開発経験,R4,危険canonical=開発経験
web設計,設計,R4,危険canonical=設計
web開発の実務経験,Web開発,R1,助詞含み
windows server 2016,Windows Server,R2,空白2個以上
windows server 2022,Windows Server,R2,空白2個以上
windows server の利用経験,Windows Server,R1,助詞含み
windowsサーバの経験,Windows,R1,助詞含み
windowsサーバの設計構築,Windows,R1,助詞含み
windows環境におけるpcサポート,Windows,R1,助詞含み
windows環境におけるpcサポート、トラブルシュート経験,Windows,R1,助詞含み
word,Word,R9,短英字キー(word)
wsusまたはwindows update管理経験,Windows,R1,助詞含み
ydy案件ーangular,Angular,R13,求人文脈語含み
zabbix関連アラート対応,Zabbix,R13,求人文脈語含み
zscale設計構築経験,構築経験,R4,危険canonical=構築経験
★★エンド直★★6月aws構築,AWS,R4,危険canonical=AWS
【java,Java,R3,求人ノイズ記号含み
およびapi設計,API,R1,接続詞先頭
その他awsコンポーネント:cloudwatch、dynamodb、codepipeline、codecommitなどの基本操作,CloudWatch,R1,助詞含み
アジャイル開発におけるテスト,テスト,R1,助詞含み
アジャイル開発経験,開発経験,R4,危険canonical=開発経験
アプリ開発での要件定義の経験,要件定義,R1,助詞含み
アーキ!▼ クラウド gcp(or aws,クラウド,R2,空白3個以上
アーキテクチャ設計,設計,R4,危険canonical=設計
インサイドセールスやai関連商材営業に準ずる経験,営業,R1,助詞含み
インフラ(aws,インフラ,R15,括弧/カンマ含み
インフラ、ソフトウェア両方のpl経験,PL経験,R1,助詞含み
インフラの自動化,インフラ,R1,助詞含み
インフラやミドルウェアの知識 知見,インフラ,R1,助詞含み
インフラシステムの運用保守の実務経験,運用保守,R1,助詞含み
インフラロースキル案件。ネットワークとサーバーの実務経験が必須,ネットワーク,R1,助詞含み
インフラ基盤の環境構築,インフラ,R1,助詞含み
インフラ担当pmo案件,インフラ,R13,求人文脈語含み
インフラ業界歴13年,インフラ,R13,求人文脈語含み
インフラ構築経験,構築経験,R4,危険canonical=構築経験
インフラ開発経験,開発経験,R4,危険canonical=開発経験
インフラ開発経験者,開発経験,R4,危険canonical=開発経験
インフラ領域(os/ミドルウェア/ネットワーク)の基礎知識,ネットワーク,R1,助詞含み
エンドユーザとの調整,調整,R1,助詞含み
エンドユーザーやプライムベンダーとの調整経験,調整,R1,助詞含み
オンプレミス/ホスティング環境の運用経験,運用経験,R1,助詞含み
オンプレミスからaws環境への移行プロジェクト経験,AWS,R1,助詞含み
オンプレミスからクラウド(aws)への移行や連携,クラウド,R1,助詞含み
オンプレミスからクラウドへの移行プロジェクト経験,クラウド,R1,助詞含み
オンプレミス環境からazure環境へのクラウド移行,Azure,R1,助詞含み
オンプレミス環境における運用経験,運用経験,R1,助詞含み
オンライン機能の開発 テスト,テスト,R1,助詞含み
オープン系言語での開発経験,開発経験,R1,助詞含み
キャリア向けコアネットワークnode.jsのsi経験,Node.js,R1,助詞含み
クラウド(aws,クラウド,R15,括弧/カンマ含み
クラウド(aws/azure等)の知見,Azure,R1,助詞含み
クラウド基盤の,クラウド,R1,助詞含み
クラウド環境(aws/azure/gcp)の基礎知識または運用経験,Azure,R1,助詞含み
ゲーム開発経験,開発経験,R4,危険canonical=開発経験
コアネットワークプロトコル知識,ネットワークプロトコル,R2,日本語15字超
コンサルファーム、sierにおけるpm/アカウントマネージャー経験,PM,R1,助詞含み
コンテナ上のjavaアプリ,Java,R1,助詞含み
サイドカーの知見,サイドカー,R1,助詞含み
サイバーセキュリティ要件定義,セキュリティ,R2,日本語14字超
サブリーダー経験,リーダー,R4,危険canonical=リーダー
サーバサイドエンジニア経験,サーバ,R2,日本語13字超
サーバーサイドでの開発経験,開発経験,R1,助詞含み
サーバー要員,サーバ,R13,求人文脈語含み
サーバー運用経験(linux,Linux,R15,括弧/カンマ含み
サーバ更改において既存データセンターからawsへの移行推進,サーバ,R1,助詞含み
システムの設計/開発経験,開発経験,R1,助詞含み
システムの運用保守経験,運用保守,R1,助詞含み
システム全体の設計 構築,構築,R1,助詞含み
システム全体の設計を説明できる,設計,R1,助詞含み
システム構築,構築,R4,危険canonical=構築
システム設計,設計,R4,危険canonical=設計
システム連携テストの推進経験,テスト,R1,助詞含み
システム開発pjにおいて、plやチームリーダーとして「品質管理(品質分析 報告書作成)」の実務経験,リーダー,R1,助詞含み
システム開発において基本設計から対応されたご経験,基本設計,R1,助詞含み
システム開発または運用における上流工程,上流工程,R1,助詞含み
システム開発経験,開発経験,R4,危険canonical=開発経験
システム間調整,調整,R4,危険canonical=調整
ジョブスケジューラ製品の知見,ジョブスケジューラ,R1,助詞含み
ジョブネット設計の経験,設計,R1,助詞含み
スクラッチでの設計,設計,R1,助詞含み
スクリプトの作成、実環境への適用の経験,スクリプト,R1,助詞含み
ストレージ、バックアップの設計構築経験,ストレージ,R1,助詞含み
ストレージ関連(sanスイッチ/svc/v7k)スキル,ストレージ,R2,日本語14字超
スマホアプリ開発経験は不要,開発経験,R1,助詞含み
セキュリティアプリケーション運用保守経験,セキュリティ,R2,日本語20字超
セキュリティコンサルタント,セキュリティ,R2,日本語13字超
セキュリティフレームワーク,セキュリティ,R2,日本語13字超
セキュリティポリシー/ガイドライン策定経験,セキュリティ,R2,日本語20字超
セキュリティポリシー設定経験,セキュリティ,R2,日本語14字超
セキュリティリスクアセスメント,セキュリティ,R2,日本語15字超
セキュリティ情報の取得,セキュリティ,R1,助詞含み
ゼロコピークローンやタイムトラベル機能を活用した運用設計経験,運用設計,R1,助詞含み
チームリーダー,リーダー,R4,危険canonical=リーダー
チームリーダーやメンター,リーダー,R1,助詞含み
チームリーダー経験,リーダー,R4,危険canonical=リーダー
チーム進捗管理,進捗管理,R4,危険canonical=進捗管理
チーム開発経験,開発経験,R4,危険canonical=開発経験
テストツール作成,テスト,R4,危険canonical=テスト
テスト工程,テスト,R4,危険canonical=テスト
テスト検証,テスト,R4,危険canonical=テスト
テスト計画·品質管理,テスト,R4,危険canonical=テスト
テスト計画書作成,テスト,R4,危険canonical=テスト
テスト計画書執筆経験,テスト,R4,危険canonical=テスト
テーブルの設計 実装経験,設計,R1,助詞含み
テーブル設計の経験,設計,R1,助詞含み
ディレクション経験,ディレクション,R4,危険canonical=ディレクション
デザイナーとのコミュニケーション,コミュニケーション,R1,助詞含み
デザイナーやpm、pdmとコミュニケーションを取りながら開発,コミュニケーション,R1,助詞含み
デザインの実務経験,UI/UXデザイン,R1,助詞含み
データカタログ,ログ,R4,危険canonical=ログ
データカタログ製品との連携実装経験,ログ,R1,助詞含み
データドッグの構築,構築,R1,助詞含み
データドッグの構築、運用実務経験,構築,R1,助詞含み
データベースの設計 構築経験,データベース,R1,助詞含み
データベースエラー対応,データベース,R13,求人文脈語含み
データ分析基盤構築,構築,R4,危険canonical=構築
データ基盤(ビッグデータ、dwh、biツール等)やクラウド環境(aws/gcp/azure等)の基礎知識,Azure,R1,助詞含み
データ移行／データ整備の実務経験,ETL,R1,助詞含み
データ論理設計,設計,R4,危険canonical=設計
データ連携ツール「asteria warp」の経験,ASTERIA Warp,R1,助詞含み
ネットワーク(cisco)設計構築3年以上,ネットワーク,R2,日本語13字超
ネットワークとサーバーの実務必須,ネットワーク,R1,助詞含み
ネットワークの基礎知識,ネットワーク,R1,助詞含み
ネットワークの知見,ネットワーク,R1,助詞含み
ネットワーク構築経験3年以上,ネットワーク構築,R2,日本語13字超
ネットワーク機器の導入/設定経験,ネットワーク,R1,助詞含み
ネットワーク環境における調査検証の経験,ネットワーク,R1,助詞含み
ネットワーク要員,ネットワーク,R13,求人文脈語含み
ハードウェアの開発経験,開発経験,R1,助詞含み
ハードウェア障害、性能監視、データベースエラー、zabbix関連アラートの対応経験,データベース,R1,助詞含み
バッチの詳細設計以降1人称で対応可能,詳細設計,R1,助詞含み
バッチ処理の設計 開発経験,バッチ処理,R1,助詞含み
バッチ処理やスクリプト(perl/shell等)の理解 改修経験,スクリプト,R1,助詞含み
バッチ処理やスクリプトの理解 改修経験,スクリプト,R1,助詞含み
バッチ設計,設計,R4,危険canonical=設計
バージョンアップ開発経験,開発経験,R4,危険canonical=開発経験
パッケージ、関数、カーソル等の設計 実装経験,設計,R1,助詞含み
パフォーマンス/セキュリティを考慮した設計,セキュリティ,R1,助詞含み
パフォーマンス/セキュリティ設計,セキュリティ,R2,日本語15字超
パブリッククラウドの運用経験,運用経験,R1,助詞含み
ビジネスメール,メール,R4,危険canonical=メール
ファイアウォールの設計 構築経験,ファイアウォール,R1,助詞含み
ファイアウォール設計 構築経験,ファイアウォール,R2,日本語14字超
フロント開発経験,開発経験,R4,危険canonical=開発経験
プロキシ設計,設計,R4,危険canonical=設計
プロキシ設計/構築,構築,R4,危険canonical=構築
プログラム設計の経験,設計,R1,助詞含み
プロジェクトディレクション,ディレクション,R2,日本語13字超
ヘルプデスクの経験,ヘルプデスク,R1,助詞含み
ベテランjava人材,Java,R4,危険canonical=Java
ベンダ調整,調整,R4,危険canonical=調整
マッチングロジック設計,設計,R4,危険canonical=設計
ミドルウェア構築,構築,R4,危険canonical=構築
メインフレーム移行設計,設計,R4,危険canonical=設計
メンバー進捗管理,進捗管理,R4,危険canonical=進捗管理
メール,メール,R4,危険canonical=メール
メールサーバの運用経験,運用経験,R1,助詞含み
